min,value,cnt,cdn,bitrate,p2p,isp
1596697620,0,44,5,2000,0,移动
1596697620,3,102,5,0,0,电信
1596697620,9,251,5,10000,1,移动
1596697620,0,11,3,2000,1,电信
1596697620,5,416,5,2000,1,移动
1596697620,2,51,5,2000,0,电信
1596697620,1,84,3,10000,1,电信
1596697620,2,74,5,500,1,移动
1596697620,0,15,5,10000,1,小运营商
1596697620,0,74,5,10000,0,电信
1596697620,5,134,5,4000,0,电信
1596697620,0,30,3,10000,0,电信
1596697620,1,14,5,500,0,移动
1596697620,5,473,5,10000,1,电信
1596697620,25,1439,5,4000,1,电信
1596697620,9,594,5,4000,1,联通
1596697620,4,171,5,10000,1,联通
1596697620,3,168,5,2000,0,联通
1596697620,0,15,5,500,0,联通
1596697620,8,627,5,4000,1,移动
1596697620,0,28,5,0,0,联通
1596697620,0,51,5,4000,1,小运营商
1596697620,0,32,5,10000,0,移动
1596697620,1,21,3,10000,1,联通
1596697620,0,30,5,10000,0,联通
1596697620,1,30,3,4000,1,电信
1596697620,13,406,5,2000,1,电信
1596697620,0,31,5,0,0,移动
1596697620,3,84,5,4000,0,联通
1596697620,0,75,5,4000,0,移动
1596697620,1,45,5,500,1,联通
1596697620,9,206,5,2000,1,联通
1596697620,0,45,3,10000,1,移动
1596697620,0,75,5,500,1,电信
1596697680,0,35,5,10000,0,移动
1596697680,8,582,5,4000,1,联通
1596697680,0,87,5,4000,0,联通
1596697680,5,625,5,4000,1,移动
1596697680,0,78,5,10000,0,电信
1596697680,7,401,5,2000,1,移动
1596697680,5,85,3,10000,1,电信
1596697680,1,152,5,2000,0,联通
1596697680,1,73,5,500,1,移动
1596697680,8,167,5,10000,1,联通
1596697680,20,1451,5,4000,1,电信
1596697680,1,96,5,0,0,电信
1596697680,0,15,5,500,0,联通
1596697680,3,46,3,10000,1,移动
1596697680,0,12,5,500,0,移动
1596697680,0,30,3,10000,0,电信
1596697680,0,45,5,2000,0,移动
1596697680,15,491,5,10000,1,电信
1596697680,0,11,3,2000,1,电信
1596697680,9,241,5,10000,1,移动
1596697680,0,56,5,2000,0,电信
1596697680,0,53,5,4000,1,小运营商
1596697680,4,210,5,2000,1,联通
1596697680,0,44,5,500,1,联通
1596697680,1,79,5,4000,0,移动
1596697680,2,28,5,0,0,联通
1596697680,1,19,3,10000,1,联通
1596697680,5,143,5,4000,0,电信
1596697680,1,34,3,4000,1,电信
1596697680,0,17,5,10000,1,小运营商
1596697680,0,73,5,500,1,电信
1596697680,3,33,5,0,0,移动
1596697680,17,412,5,2000,1,电信
1596697680,0,32,5,10000,0,联通
1596697740,7,194,5,2000,1,联通
1596697740,92,473,5,10000,1,电信
1596697740,0,31,3,10000,0,电信
1596697740,1,13,5,500,0,移动
1596697740,0,44,5,2000,0,移动
1596697740,1,34,5,10000,0,联通
1596697740,4,606,5,4000,1,移动
1596697740,5,18,3,10000,1,联通
1596697740,1,56,5,2000,0,电信
1596697740,0,54,5,4000,1,小运营商
1596697740,5,17,5,10000,1,小运营商
1596697740,0,48,5,500,1,联通
1596697740,15,1389,5,4000,1,电信
1596697740,0,12,3,2000,1,电信
1596697740,53,247,5,10000,1,移动
1596697740,2,86,5,0,0,电信
1596697740,0,88,5,4000,0,联通
1596697740,2,33,5,0,0,移动
1596697740,0,70,5,500,1,电信
1596697740,1,69,5,4000,0,移动
1596697740,8,374,5,2000,1,移动
1596697740,5,70,5,500,1,移动
1596697740,14,86,3,10000,1,电信
1596697740,0,32,5,0,0,联通
1596697740,2,78,5,10000,0,电信
1596697740,0,11,5,2000,1,小运营商
1596697740,12,550,5,4000,1,联通
1596697740,11,42,3,10000,1,移动
1596697740,1,28,3,4000,1,电信
1596697740,10,397,5,2000,1,电信
1596697740,37,157,5,10000,1,联通
1596697740,0,36,5,10000,0,移动
1596697740,0,14,5,500,0,联通
1596697740,6,130,5,4000,0,电信
1596697740,2,137,5,2000,0,联通
1596697800,0,12,5,500,0,联通
1596697800,4,479,5,4000,1,联通
1596697800,0,102,5,2000,0,联通
1596697800,7,497,5,4000,1,移动
1596697800,0,13,5,2000,1,小运营商
1596697800,0,31,3,10000,0,电信
1596697800,0,21,5,0,0,移动
1596697800,20,1242,5,4000,1,电信
1596697800,3,132,5,10000,1,联通
1596697800,0,11,5,10000,1,小运营商
1596697800,2,77,5,0,0,电信
1596697800,2,80,3,10000,1,电信
